Shot Clock,2pt made,3pt made,percentage 3pt,points per shot
0,0.379182156133829,0.1896551724137931,0.3927765237020316,0.6839729119638827
1,0.34983498349834985,0.2976190476190476,0.35668789808917195,0.7685774946921444
2,0.3249211356466877,0.273972602739726,0.31533477321814257,0.7041036717062635
3,0.3541666666666667,0.32608695652173914,0.323943661971831,0.795774647887324
4,0.351010101010101,0.32038834951456313,0.34219269102990035,0.7906976744186046
5,0.3598130841121495,0.3492063492063492,0.3063209076175041,0.820097244732577
6,0.35145631067961164,0.3177570093457944,0.2935528120713306,0.7764060356652949
7,0.38353413654618473,0.3263598326359833,0.3242876526458616,0.835820895522388
8,0.4061990212071778,0.31004366812227074,0.27197149643705465,0.8444180522565321
9,0.39285714285714285,0.3229571984435798,0.30414201183431955,0.8414201183431953
10,0.4017857142857143,0.275974025974026,0.3142857142857143,0.8112244897959183
11,0.3971830985915493,0.31596091205211724,0.30186823992133727,0.8407079646017699
12,0.38493723849372385,0.3215434083601286,0.3025291828793774,0.8287937743190662
13,0.4089121887287025,0.28488372093023256,0.3107497741644083,0.8292682926829268
14,0.35135135135135137,0.29239766081871343,0.31608133086876156,0.7578558225508318
15,0.421455938697318,0.3641791044776119,0.29964221824686943,0.9177101967799642
16,0.41486486486486485,0.30448717948717946,0.2965779467680608,0.8545627376425855
17,0.4061624649859944,0.3107344632768362,0.33146067415730335,0.8520599250936329
18,0.40633608815426997,0.31412103746397696,0.3233923578751165,0.8546132339235788
19,0.4208389715832206,0.296195652173913,0.3324299909665763,0.8572719060523939
20,0.43283582089552236,0.3717948717948718,0.3460514640638864,0.9520851818988465
21,0.41274238227146814,0.3256997455470738,0.3524663677130045,0.8789237668161435
22,0.4203102961918195,0.32891246684350134,0.34714548802946593,0.8913443830570903
23,0.43928035982008995,0.2971014492753623,0.2926829268292683,0.8822905620360552
24,0.4539877300613497,0.33948339483394835,0.29360780065005415,0.9404117009750813
25,0.47901591895803186,0.3076923076923077,0.23136818687430477,0.949944382647386
26,0.47606382978723405,0.29411764705882354,0.21338912133891214,0.9372384937238494
27,0.46979038224414305,0.25333333333333335,0.15608740894901144,0.9115504682622269
28,0.4720812182741117,0.24390243902439024,0.1722689075630252,0.907563025210084
29,0.4794188861985472,0.2773722627737226,0.24909090909090909,0.9272727272727272
