Shot Clock,Shot Percentage
0,0.3201754385964912
1,0.3576923076923076
2,0.3312883435582822
3,0.35666666666666663
4,0.3538704581358609
5,0.3801526717557252
6,0.35927367055771725
7,0.38273195876288657
8,0.39661016949152544
9,0.3767441860465118
10,0.37338629592850037
11,0.376333656644035
12,0.38404452690166974
13,0.37785588752196836
14,0.3434704830053667
15,0.4045936395759717
16,0.3957759412304867
17,0.383424408014572
18,0.38954012623985584
19,0.3865248226950355
20,0.41298701298701307
21,0.3930735930735931
22,0.3924050632911392
23,0.40332640332640335
24,0.43217665615141954
25,0.4489795918367347
26,0.4424057084607543
27,0.4405241935483871
28,0.44327176781002636
29,0.45868465430016864
30,0.67921146953405
